"KontoBankoweID";"Login";"Haslo";"StanKonta"
1;"galldis0";"LSwoKDVS0";"$44.38M"
2;"cscapelhorn1";"IQAoUnV";"$588.87M"
3;"amilier2";"BC7xr5lM1PN0";"$73.68M"
4;"tmoss3";"oB8Ck5tA";"$449.65M"
5;"rmaudling4";"Od6ASdt";"$64.33M"
6;"dquarterman5";"dGH0dtmKUn";"$514.79M"
7;"mbalhatchet6";"P6L9Ku";"$187.18M"
8;"gjanning7";"xZcHHo";"$125.85M"
9;"mketchell8";"6qCHfJQtNvxN";"$34.78M"
10;"gfernley9";"OWW7im9CA";"$1.15B"
11;"egiereka";"5eFILX";"$1.67B"
12;"rcotonb";"L5sPPN2g";"$73.3M"
13;"cjohantgesc";"KyiCgzlaE";"$46.9M"
14;"icawthryd";"Pgjsln2";"$96.77M"
15;"lbryerse";"FrTpNy";"$146.86M"
16;"lbrammerf";"ABCzqjBT1t2K";"$226.82M"
17;"cwenderottg";"r6hcaJx";"$5.12B"
18;"kjeynesh";"hhtrjq0LB";"n/a"
19;"rpancousti";"jhocKYQO0h";"$3.65B"
20;"ysherrottj";"1ojhHo";"$189.2M"
21;"lleabeaterk";"bODNVLc";"$4.11M"
22;"geldridl";"OfpyAZo4raml";"$87.57M"
23;"boheneghanm";"Ej63LwESaeOT";"$690.47M"
24;"dkonerdingn";"grwLnoM5m";"$35.28M"
25;"awillshereo";"9cmOrup";"n/a"
26;"smacgebenayp";"mJRw4spOnp";"$3.26B"
27;"cseeryq";"4yjnPF";"$61.03M"
28;"pcorror";"SWdlvy";"$117.99B"
29;"lsissons";"1PLsQ2";"$16.65B"
30;"hlowet";"C167ql51td";"n/a"
31;"rcollsu";"9GQ4hNliCr";"$9.21B"
32;"kcaddellv";"Wi7Jukbh";"$1.28B"
33;"kericssonw";"v4sBVdf0b0IU";"$1.41B"
34;"mpentlandx";"P0utuBxGQ";"$151.04M"
35;"akeatleyy";"ql016zBhOo";"n/a"
36;"jdandiez";"W0h0ntnSu";"$420.27M"
37;"glaying10";"6Xxlnr";"$94.06M"
38;"jcornfoot11";"VcsIrHUg83";"$1.54M"
39;"pstoker12";"rHfmKB9";"$21.8M"
40;"gschruurs13";"kpJpykZdc6eb";"$9.89B"
41;"jdoud14";"YLhAXELI";"n/a"
42;"nbutte15";"XzCPqxTAq";"$1.21B"
43;"mivers16";"KUqMWETMVF5S";"$47.65M"
44;"lpendlenton17";"eMt2WZLOA34";"$607.83M"
45;"ndeedes18";"0iHNInZh9";"$9.9M"
46;"bburgane19";"5LTSYK";"$43.94B"
47;"bblankley1a";"QfDeU6yZTAf";"n/a"
48;"dtowl1b";"kdpi7P";"$118.89M"
49;"ctilly1c";"zIPjiG";"$2.24B"
50;"dgiacopini1d";"iqfvLzSYyOX";"$79.09B"
51;"hvarnam1e";"D1pLLG";"$55.25M"
52;"jweatherhead1f";"eV51HnK3R";"$16.61M"
53;"lmyrkus1g";"ufPfuUoKB2";"$658.05M"
54;"kbraunthal1h";"mIvC91";"$413.03M"
55;"cogan1i";"0ZbIamC";"$97.38M"
56;"ahollows1j";"ndZn1uwPe";"n/a"
57;"amaunders1k";"qWmyer";"$4.28B"
58;"rbarta1l";"7hZCCVIR";"n/a"
59;"npinchbeck1m";"eJQrARknbjb";"$34.43B"
60;"jwiskar1n";"BwqOiDeT2Bo";"$180.01M"
61;"jgowar1o";"cOsbMdbPaw";"n/a"
62;"nmandrake1p";"ji3ne7RBsn";"$255.6M"
63;"rcureton1q";"EpRiFHw";"n/a"
64;"rkuhnt1r";"xYSRCKgdEv";"$9.94M"
65;"dprobat1s";"PsMRYhav";"$826.02M"
66;"kpike1t";"e8OznsATSqh";"$30.7B"
67;"ahurle1u";"LkUuHMD7v6";"n/a"
68;"sseivwright1v";"5dBVNqDBI";"$271.66M"
69;"rsibley1w";"sCTeFwNZc";"$646.76M"
70;"jpitone1x";"VpNspXnJ";"$116.77M"
71;"apoynzer1y";"e24EcS";"$200.83M"
72;"jarnaldo1z";"Jq6t03pz3";"n/a"
73;"pszimon20";"2oyvIIYnbCDc";"$22.51M"
74;"sburlay21";"rU1gunMKO3eX";"$136.89M"
75;"rbool22";"N79O90c0K";"$20.23B"
76;"jwoodworth23";"IBL3kVGCd";"$428.38M"
77;"itembridge24";"Fte3YkgmjLxz";"n/a"
78;"cpartleton25";"RUdgZu4Sl";"$121.11M"
79;"tmcgiveen26";"NgxAAx3EsY";"n/a"
80;"phenningham27";"VQXZRP4";"$241.57M"
81;"rclegg28";"QpEwgPD";"$8.64B"
82;"amcffaden29";"hs9MtW1Aq";"$5.11B"
83;"opedrocchi2a";"CMAbjHpx5G";"$48.2M"
84;"pgogan2b";"K1YFzwRTM2";"$2.83B"
85;"skrolak2c";"CrF1KIG";"$1.06B"
86;"abaison2d";"Z3ZPnw";"$65.68B"
87;"llewinton2e";"70qkdLa3";"$3.49M"
88;"jfullstone2f";"uyYnUICB2NT";"$666.84M"
89;"barington2g";"WhUd1K2";"n/a"
